datetime_utc,date,time,week,symbol,direction,ticket,lots,entry,sl,tp,status,pnl
2025-11-06T19:50:29.698366+00:00,2025-11-06,19:50:29.698366,45,USDCHF,long,0,1.0,0.80659,0.8060900000000001,0.8075899999999999,skipped,0.0
2025-11-06T19:50:30.251014+00:00,2025-11-06,19:50:30.251014,45,USDCAD,long,0,1.0,1.41129,1.4085866129999998,1.4166967740000003,skipped,0.0
2025-11-06T19:50:31.267338+00:00,2025-11-06,19:50:31.267338,45,AUDUSD,short,0,1.0,0.64827,0.64877,0.6472700000000001,skipped,0.0
2025-11-06T19:51:03.087746+00:00,2025-11-06,19:51:03.087746,45,EURUSD,short,0,1.0,1.15442,1.155366326,1.152527348,skipped,0.0
2025-11-06T19:51:04.067006+00:00,2025-11-06,19:51:04.067006,45,GBPUSD,short,0,1.0,1.31328,1.314663984,1.3105120319999999,skipped,0.0
2025-11-06T19:51:05.432585+00:00,2025-11-06,19:51:05.432585,45,USDCHF,long,0,1.0,0.80657,0.8060700000000001,0.8075699999999999,skipped,0.0
2025-11-06T19:51:06.869859+00:00,2025-11-06,19:51:06.869859,45,USDCAD,long,0,1.0,1.41121,1.408586637,1.4164567260000003,skipped,0.0
2025-11-06T19:51:07.806403+00:00,2025-11-06,19:51:07.806403,45,AUDUSD,short,0,1.0,0.64833,0.6488299999999999,0.6473300000000001,skipped,0.0
2025-11-06T19:51:39.703441+00:00,2025-11-06,19:51:39.703441,45,EURUSD,short,0,1.0,1.1544,1.15536632,1.1524673600000004,skipped,0.0
2025-11-06T19:51:41.047733+00:00,2025-11-06,19:51:41.047733,45,GBPUSD,short,0,1.0,1.31324,1.314663972,1.310392056,skipped,0.0
2025-11-06T19:51:42.383818+00:00,2025-11-06,19:51:42.383818,45,USDCHF,long,0,1.0,0.80658,0.80608,0.8075799999999999,skipped,0.0
2025-11-06T19:51:43.634461+00:00,2025-11-06,19:51:43.634461,45,USDCAD,long,0,1.0,1.41129,1.4085866129999998,1.4166967740000003,skipped,0.0
2025-11-06T19:51:44.006360+00:00,2025-11-06,19:51:44.006360,45,AUDUSD,short,0,1.0,0.64824,0.64874,0.6472400000000001,skipped,0.0
2025-11-06T19:52:15.532360+00:00,2025-11-06,19:52:15.532360,45,GBPUSD,short,0,1.0,1.31312,1.314663936,1.310032128,skipped,0.0
2025-11-06T19:52:16.640245+00:00,2025-11-06,19:52:16.640245,45,USDCHF,long,0,1.0,0.80659,0.8060900000000001,0.8075899999999999,skipped,0.0
2025-11-06T19:52:47.512953+00:00,2025-11-06,19:52:47.512953,45,USDCHF,long,0,1.0,0.80662,0.8061200000000001,0.8076199999999999,skipped,0.0
2025-11-06T19:53:18.482792+00:00,2025-11-06,19:53:18.482792,45,USDCHF,long,0,1.0,0.80661,0.8061100000000001,0.8076099999999999,skipped,0.0
2025-11-06T19:53:50.196757+00:00,2025-11-06,19:53:50.196757,45,USDCAD,long,0,1.0,1.4113,1.40858661,1.41672678,skipped,0.0
2025-11-06T19:53:50.757657+00:00,2025-11-06,19:53:50.757657,45,AUDUSD,short,0,1.0,0.64825,0.6487499999999999,0.6472500000000001,skipped,0.0
2025-11-06T19:54:24.681399+00:00,2025-11-06,19:54:24.681399,45,USDCHF,long,0,1.0,0.80658,0.80608,0.8075799999999999,skipped,0.0
2025-11-06T19:54:25.015552+00:00,2025-11-06,19:54:25.015552,45,USDCAD,long,0,1.0,1.41128,1.4085866159999998,1.4166667680000007,skipped,0.0
2025-11-06T19:54:26.422090+00:00,2025-11-06,19:54:26.422090,45,AUDUSD,short,0,1.0,0.6483,0.6487999999999999,0.6473000000000001,skipped,0.0
2025-11-06T19:54:57.614109+00:00,2025-11-06,19:54:57.614109,45,EURUSD,short,0,1.0,1.15443,1.155366329,1.1525573420000002,skipped,0.0
2025-11-06T19:54:58.318553+00:00,2025-11-06,19:54:58.318553,45,GBPUSD,short,0,1.0,1.31315,1.314663945,1.3101221100000002,skipped,0.0
